X,Y,N
6.158312,0.9039821,4
2.2632008,2.855989,4
13.065679,9.367387,4
1.0317463,17.683998,4
9.325554,17.527163,4
-1.2191312,15.201503,4
9.9851055,12.688408,4
9.959699,20.746782,4
4.66343,0.7367729,4
12.170426,17.928,4
-0.18060039,13.799808,4
15.672013,5.2987685,4
10.79514,-4.190484,4
14.449383,-7.2139688,4
18.322197,5.774545,4
13.910465,-6.1069117,4
18.75448,1.9107823,4
8.873572,0.5073697,4
-2.848874,5.106012,4
10.669761,13.743875,4
2.9802582,18.941498,4
3.894763,21.715118,4
12.122778,-4.803428,4
-0.13165312,-6.1400356,4
12.215784,-5.610442,4
8.70318,2.3486123,4
4.6776314,15.546518,4
-2.6743035,-4.130716,4
8.708493,0.67924327,4
12.969579,-1.563265,4
23.508224,2.1681807,4
12.29497,1.1539619,4
13.01228,6.145015,4
3.3675663,15.478749,4
12.176919,19.789528,4
3.8203814,15.572406,4
7.991353,-1.8728215,4
15.765832,4.5028505,4
6.622556,13.57985,4
8.78019,12.68515,4
-3.719663,5.0365586,4
16.309933,5.5525856,4
14.763125,15.038929,4
12.362906,-1.2350912,4
8.268876,1.0520275,4
1.8022017,12.415975,4
6.7851453,-0.7020191,4
11.999265,-1.0771474,4
13.470449,4.161938,4
-0.03944099,13.835696,4
-1.1961534,17.011873,4
3.4527743,13.033376,4
16.656689,3.6777244,4
7.7388735,14.313629,4
11.212556,-4.303084,4
5.703832,0.13883391,4
10.902857,-3.929001,4
12.867381,1.2015022,4
8.2545,1.6179979,4
8.732565,0.8319761,4
12.836154,9.315015,4
5.7133217,10.221562,4
7.51984,8.45193,4
-1.7117712,17.275257,4
4.192933,1.4689401,4
2.7907474,15.327958,4
15.834992,-1.463392,4
2.652677,18.368793,4
11.091071,6.731008,4
9.86968,8.733403,4
-2.8285308,-4.404099,4
15.431434,9.899202,4
8.886615,16.002275,4
18.983358,-0.23955163,4
8.519678,10.718666,4
7.114615,15.700286,4
13.387325,-7.172496,4
14.39748,-7.7916703,4
9.088168,4.9739394,4
14.068017,-5.67781,4
-0.92274314,3.8344212,4
4.1479015,16.644987,4
4.147631,16.689785,4
4.1841807,16.666857,4
8.711051,19.960745,4
13.200252,9.979532,4
9.22573,18.230198,4
11.184062,-1.0439585,4
21.415028,4.169643,4
11.36021,11.847827,4
21.949444,3.5942051,4
23.45197,1.9427009,4
3.2265034,2.2891264,4
9.546265,19.28856,4
9.928108,21.765097,4
10.615206,2.0096953,4
0.9228726,3.699288,4
17.91572,5.884169,4
14.054082,-5.9343724,4
3.9860444,9.840623,4
3.8465514,16.093643,4
0.19367923,16.754553,4
6.616938,10.09856,4
9.414908,3.897827,4
11.036215,12.487751,4
13.794646,12.57024,4
0.3545202,12.915461,4
6.8491583,9.8832035,4
5.9214225,15.760001,4
9.837001,10.879482,4
-3.0750844,5.0242424,4
13.213864,14.386019,4
14.508214,-2.9195337,4
12.485162,-5.851732,4
5.631569,0.14790821,4
17.476158,10.353545,4
9.955868,14.537398,4
5.4906673,3.2436168,4
3.3500018,1.9235188,4
13.251127,-7.34953,4
10.21439,19.346949,4
12.897489,14.642125,4
9.246569,-3.706061,4
11.18161,-0.8597199,4
-2.989643,1.4314742,4
11.947271,-4.09133,4
13.127194,0.57943684,4
7.4115944,1.5863084,4
14.429609,-0.20851304,4
12.056467,22.547083,4
1.7228407,-2.7037952,4
5.825601,16.835438,4
6.269301,-0.41231734,4
13.390163,15.341996,4
14.240013,14.7247715,4
11.216663,12.655595,4
13.4891405,-7.2108865,4
-1.3774352,-0.046078634,4
4.3333983,21.30799,4
13.608687,15.472597,4
12.342149,13.705434,4
4.001448,1.7488521,4
0.6691539,1.797893,4
14.211304,-2.561768,4
15.237817,-2.0804586,4
9.4221735,13.710764,4
7.2539425,2.614533,4
14.644974,-7.5042095,4
9.5802355,-0.23028994,4
6.5657616,9.8576765,4
0.7089276,21.014338,4
9.9447,-3.1477845,4
13.671768,-6.1858993,4
19.10661,3.7837934,4
10.283241,-3.5219226,4
14.133938,3.2951765,4
16.824894,7.9837894,4
23.285488,1.8405031,4
7.6664424,15.096636,4
-0.14058614,18.73313,4
8.026002,19.478266,4
1.7697965,2.8778677,4
9.9568205,-1.1924249,4
1.128499,13.383466,4
9.182776,13.288398,4
-1.0273193,4.716207,4
3.0029402,11.295669,4
9.976234,8.139293,4
6.5263567,-0.14037575,4
8.2021675,20.66198,4
4.426153,19.722734,4
10.718309,11.206019,4
1.2836685,15.943313,4
13.763124,-4.5595818,4
11.056145,16.570393,4
-0.1354848,-6.6590776,4
12.406268,11.776707,4
8.288813,11.831985,4
3.8446972,16.165758,4
8.638701,9.455498,4
7.8256626,18.686369,4
4.5259857,1.3636827,4
5.4917765,16.67668,4
11.634442,14.068171,4
2.704102,17.876785,4
11.685387,-0.9977546,4
12.012991,-4.138174,4
14.598154,-6.6324797,4
19.533209,2.9146478,4
8.011154,14.884612,4
8.676576,19.032398,4
20.352583,1.6544548,4
10.194756,-2.2905636,4
18.131506,12.944216,4
9.279312,7.687203,4
14.532364,14.791921,4
14.699001,14.702388,4
16.286007,8.803441,4
-2.9225059,5.1339784,4
12.665382,17.442883,4
1.3949516,15.773343,4
21.658329,3.4634666,4
22.112392,2.8668458,4
8.526229,-0.8075093,4
4.916215,13.097273,4
6.778313,10.370997,4
13.535309,-5.0649195,4
3.8330538,15.042883,4
11.955171,-5.668684,4
4.848941,13.993474,4
11.209908,-4.2964926,4
0.6025301,1.4671912,4
20.86232,2.0240154,4
5.6402874,13.305919,4
0.90912384,12.275874,4
9.795661,0.3505553,4
10.523729,13.727213,4
4.628585,18.912468,4
12.569258,-5.3006144,4
15.37956,8.104705,4
5.1688156,18.284208,4
1.8162961,3.1194067,4
9.609323,14.098966,4
3.7540188,13.566321,4
6.8105183,19.689127,4
7.4516716,13.56112,4
5.7953053,0.12843639,4
3.9434834,15.588889,4
3.5754192,20.348509,4
9.669209,6.033458,4
-1.8353832,4.4320273,4
11.941143,2.9588313,4
6.762608,10.392719,4
12.461115,10.980273,4
-1.7421508,13.469318,4
3.813578,20.54096,4
7.9904275,1.1618061,4
4.3606973,1.347411,4
5.2031155,1.0159659,4
11.374649,13.314297,4
-3.0161285,4.7187576,4
11.078055,4.7630887,4
11.803658,20.303097,4
23.100698,2.5475996,4
11.246638,-2.9518378,4
10.772789,9.667231,4
5.8188663,14.730264,4
-1.1360062,-5.4657207,4
15.599448,-1.9678593,4
13.837157,12.614783,4
-2.3864844,4.842158,4
8.381041,5.6264963,4
10.290842,15.359012,4
11.739954,-4.9406776,4
18.326387,6.9999747,4
13.646985,9.630907,4
2.6805782,15.807232,4
2.4329288,15.525333,4
14.16352,11.136965,4
6.134302,1.0544616,4
1.5689178,13.855418,4
7.62927,13.661909,4
-4.37238,4.110903,4
17.391804,8.547114,4
11.48604,-4.722923,4
13.193634,17.795267,4
0.38109347,-5.988911,4
6.046573,1.8408445,4
8.485771,18.446465,4
9.031856,-2.048715,4
-2.2972696,-2.090939,4
11.101161,-0.79264957,4
15.48942,-0.29116446,4
2.6283832,17.361368,4
6.223549,3.0259674,4
2.535531,16.813896,4
5.8947244,3.1670148,4
12.100182,21.449596,4
-0.8990222,11.600517,4
10.864455,7.151407,4
15.886274,3.3684385,4
8.606464,6.3094077,4
12.031863,21.375408,4
10.906113,7.103526,4
15.920898,3.4555273,4
8.925356,6.4263735,4
11.897859,21.267878,4
8.821954,6.080914,4
15.775625,3.2574565,4
-1.012843,12.021966,4
10.716969,6.984547,4
12.019206,21.361141,4
-1.1617761,11.785369,4
15.742902,3.2749074,4
10.776163,7.0711346,4
8.915873,6.070386,4
11.117423,21.19359,4
17.759851,4.097838,4
7.9347386,6.264393,4
13.127166,17.57275,4
8.7404375,6.2543488,4
7.921466,6.234435,4
17.79844,4.033891,4
11.175737,21.24556,4
8.81219,6.2030454,4
13.198254,17.589003,4
11.022307,21.112907,4
17.908445,4.0293064,4
7.930612,6.193681,4
13.105723,17.594845,4
7.922042,6.223455,4
18.145166,4.1265373,4
10.955058,21.055027,4
8.528675,6.564252,4
13.104871,17.750044,4
7.8880663,6.202646,4
17.985489,3.92862,4
10.951763,21.015644,4
12.987852,17.706436,4
10.955786,21.103262,4
17.816006,3.8808355,4
13.054004,17.895407,4
8.172952,6.01753,4
-2.5827963,12.178099,4
10.942572,2.2112973,4
-3.1787107,13.672262,4
10.044175,2.4489045,4
18.001453,8.247843,4
6.0587997,-0.27369955,4
-3.644063,2.617141,4
16.41143,7.933973,4
8.428815,9.054744,4
13.594541,3.9305,4
3.3700438,18.665688,4
6.6150317,17.798836,4
13.957084,10.581344,4
9.287964,9.422525,4
20.33243,1.5678691,4
9.49978,7.891405,4
14.903448,14.1428585,4
13.23482,-7.3376746,4
2.9038208,19.744331,4
-2.48339,14.21102,4
16.724442,8.525955,4
16.17315,10.29823,4
-1.6955333,15.063812,4
5.991136,19.486252,4
5.9002023,19.698774,4
8.743146,0.8511471,4
4.6165514,19.792242,4
-0.2959018,1.7710611,4
6.108929,15.413453,4
16.534313,9.181122,4
16.629019,5.6351647,4
12.638117,-4.7951994,4
13.809472,4.351487,4
15.851927,4.8888297,4
7.077805,11.621451,4
13.976618,10.336711,4
11.553997,-0.93619275,4
0.9854056,20.877157,4
14.11004,5.0122366,4
14.026771,-5.9076276,4
8.008129,14.305046,4
16.566753,9.503375,4
9.937077,-0.96613747,4
9.87286,-0.8182853,4
8.226543,12.71044,4
17.776787,6.0286527,4
13.038121,-0.7629554,4
11.915495,-4.1628966,4
7.59682,-1.0426433,4
12.423804,-5.459501,4
14.657544,-7.2467976,4
14.323215,-6.970131,4
5.0191526,16.775038,4
5.6875505,0.69238,4
1.6657932,-5.7453613,4
5.9716887,2.1778338,4
4.994976,14.15343,4
11.7662525,6.420551,4
1.5057491,16.849136,4
15.972407,4.140368,4
15.913099,5.240556,4
0.7211482,20.30022,4
6.835121,1.6269252,4
-2.7450993,-6.270056,4
8.280652,1.0947878,4
19.39588,2.4950178,4
20.188538,5.2766914,4
15.010275,11.403909,4
15.23737,11.160921,4
20.170578,5.776869,4
0.19312508,20.041307,4
0.20063944,19.600296,4
14.36092,-7.015499,4
20.4523,3.0720208,4
2.336347,22.143898,4
-0.15213592,20.541428,4
-0.27906612,14.066947,4
17.237183,-0.77729845,4
10.616737,6.56596,4
20.36488,12.690879,4
5.827146,2.3587859,4
0.40736446,19.694206,4
11.839379,15.814493,4
17.041704,6.0681033,4
14.484763,7.190464,4
13.071121,15.25241,4
13.142098,-5.2922893,4
14.075558,-7.971657,4
13.83667,5.1807847,4
12.033508,4.5819983,4
12.748051,-7.4017005,4
19.860971,2.6197467,4
-3.3592482,0.863598,4
3.2718687,18.491388,4
4.7034183,21.916914,4
4.413132,21.899467,4
4.307291,21.867167,4
3.8902626,21.739096,4
3.728221,21.344666,4
4.770489,18.582424,4
11.555897,6.863137,4
9.742473,18.780388,4
9.785104,18.519697,4
5.2090306,2.471377,4
5.088569,1.8286554,4
4.68767,18.507837,4
10.689799,-3.646992,4
4.295696,18.482374,4
0.28752142,-5.2401686,4
4.609186,18.275518,4
15.007463,11.06615,4
-1.8565127,13.714655,4
3.1127954,10.484165,4
12.642828,20.97724,4
-2.3524354,-3.8835974,4
0.88759476,12.608953,4
11.153043,13.074262,4
7.0524607,7.8280883,4
11.080531,-1.6516231,4
9.253122,14.365923,4
13.676571,-6.702897,4
22.6291,2.9661107,4
12.303146,-3.880417,4
5.500596,0.8171088,4
11.061186,12.029278,4
1.6561682,3.0467083,4
14.348963,-2.4463727,4
-1.352464,-0.6537062,4
8.393455,-1.9121443,4
12.795676,-7.5958605,4
16.129362,-2.0362902,4
7.81347,17.801392,4
6.6479816,16.70936,4
8.013118,16.340178,4
11.317209,17.36983,4
11.762631,18.008434,4
15.196206,3.8027782,4
9.307399,-2.0853689,4
-2.7654552,13.470901,4
-1.0915554,-3.3568642,4
13.221365,17.970028,4
1.359343,-0.8150975,4
8.964819,0.45100898,4
13.267491,5.954284,4
19.453579,5.862824,4
15.019318,-2.1799672,4
10.94876,-0.7379119,4
20.518883,1.8465136,4
9.55877,0.4782473,4
5.468628,14.690145,4
14.924416,-7.2874117,4
4.7038436,1.4973735,4
13.246102,-3.817965,4
14.032271,10.092388,4
3.8194208,15.750465,4
8.282572,14.328936,4
2.4574404,20.057972,4
0.4793922,-4.2565107,4
16.550491,11.486148,4
-3.7782202,3.71047,4
2.37448,2.7286122,4
4.0678253,1.9664756,4
11.363681,-0.8337143,4
14.035646,-2.6209743,4
-0.7687215,11.689381,4
3.3649108,19.056278,4
12.568757,-7.8260856,4
13.246605,-5.1466184,4
12.217463,9.145125,4
-3.08402,14.333764,4
3.9659643,1.6100296,4
10.9792595,11.229796,4
-1.0930648,11.086628,4
13.6418705,7.389862,4
-3.0493934,4.760015,4
13.931456,14.757322,4
14.544594,12.077748,4
12.909057,-0.006341636,4
11.590179,-4.0198874,4
0.040867053,-5.8935103,4
4.230024,15.904653,4
14.200173,12.814573,4
9.377361,18.332605,4
10.915031,12.151681,4
-3.1310108,-3.5847547,4
13.321639,6.994357,4
12.631586,15.882505,4
14.545687,3.313284,4
12.488619,-1.251699,4
9.971315,13.705215,4
12.3820505,-5.98057,4
0.8385674,4.4283314,4
1.1104499,2.85336,4
9.806947,-0.46021765,4
14.025316,-5.9348345,4
6.3721595,1.4239359,4
5.269009,2.2682705,4
8.008929,15.351127,4
-2.004764,14.060504,4
11.195667,11.264299,4
4.220451,1.7405424,4
3.6561239,16.049099,4
17.096323,11.132269,4
12.260885,17.703587,4
-2.84663,13.498408,4
1.6246253,17.277006,4
2.2658882,17.047802,4
8.2337,1.0445784,4
6.234214,20.18198,4
14.025396,-6.502448,4
15.188106,-3.6812458,4
13.606131,6.7304554,4
12.523988,9.510416,4
17.831905,-0.9230328,4
11.095349,-4.463359,4
20.849537,3.1707027,4
5.319195,20.53795,4
0.6210581,17.884615,4
8.720544,16.929537,4
14.260704,10.994843,4
