X,Y,N
6.1332235,0.31305373,4
2.3221674,2.0318387,4
11.967691,10.18524,4
3.229129,16.609495,4
8.860535,14.836122,4
-0.53846735,14.361282,4
8.377193,12.271414,4
10.827308,13.752932,4
5.3803043,1.862263,4
11.295277,15.149822,4
-0.16050643,13.538346,4
14.520994,5.601552,4
13.270965,0.56384,4
18.141611,-2.1827323,4
17.627945,5.579493,4
17.10251,-1.792695,4
20.65041,2.4374838,4
7.9684353,-1.9377029,4
-1.0881485,5.1100416,4
8.696637,11.713003,4
2.4500384,17.853083,4
2.8116214,18.297293,4
14.892603,-0.45783406,4
-1.2430564,-3.7828202,4
15.675687,0.22621793,4
6.7765365,-2.3667395,4
5.1813354,16.527601,4
0.8655379,-4.200906,4
7.852394,-1.9634511,4
11.558476,-4.3486094,4
21.776804,3.1281695,4
14.022171,4.058346,4
11.964842,6.326412,4
4.590851,16.18035,4
10.105009,14.690078,4
4.664749,16.255568,4
9.687597,0.85000736,4
14.869655,5.198083,4
6.4796753,14.548016,4
7.699854,12.014606,4
-1.8289335,5.1004624,4
14.865042,5.3576136,4
13.409765,13.45,4
10.909211,-4.0589366,4
7.5846543,-1.2278912,4
0.6792554,13.774074,4
7.9785304,1.0587339,4
10.547142,-4.0229273,4
13.711431,5.307026,4
0.72845405,14.386251,4
-0.7287671,11.341796,4
5.6402736,12.262669,4
15.804018,5.2869844,4
6.90308,13.606539,4
13.426541,0.1628158,4
6.8071613,1.5665447,4
13.084585,0.060861804,4
12.12814,4.3907843,4
6.9330864,-2.5339518,4
7.6455135,-2.1701217,4
12.916817,9.005941,4
3.909141,10.933972,4
7.9158173,7.003034,4
-0.069383964,15.686155,4
4.5414114,1.4165139,4
4.1226625,15.690837,4
12.659196,-3.2641323,4
1.846094,17.159702,4
10.697778,6.64934,4
11.050821,10.445353,4
0.8373592,-4.2351713,4
14.356846,9.494606,4
6.8762507,18.178076,4
20.86984,1.6769594,4
10.676981,11.444549,4
6.1343985,17.41925,4
18.03442,-0.21132119,4
18.992641,-1.8156018,4
9.727607,5.3206573,4
16.931293,-2.177896,4
0.35406137,4.5157385,4
4.222711,17.195524,4
4.211267,17.1567,4
4.252841,17.20512,4
8.654919,15.607171,4
12.234845,9.830397,4
8.89811,14.935435,4
9.905444,-3.467592,4
20.42752,4.6259,4
8.5638275,10.858505,4
20.6091,4.334652,4
21.66469,3.3526711,4
3.184011,1.5657976,4
9.439971,16.4946,4
10.3615265,14.209545,4
11.297287,3.9261956,4
0.79757035,3.0911582,4
17.707695,5.5559635,4
17.009619,-2.0378006,4
3.2291763,12.163278,4
4.6574464,16.350975,4
1.313741,15.672861,4
5.033915,10.304278,4
10.250501,5.0942516,4
8.375994,10.985047,4
12.6707735,12.039405,4
0.1685984,12.141637,4
4.8946834,10.215981,4
6.554775,17.27192,4
7.5360637,10.714783,4
-1.2491313,5.155496,4
8.980221,11.332391,4
15.159373,-3.6453578,4
16.315857,-0.18625164,4
6.6781683,1.7121751,4
15.769133,9.530583,4
7.281879,12.8386755,4
3.8691897,-1.2287753,4
3.6172578,1.9971195,4
18.30356,-0.1609468,4
9.486101,15.141696,4
12.823078,13.616049,4
13.141402,0.9533366,4
9.659419,-3.5048115,4
-1.4237779,1.2236058,4
14.168483,-0.522258,4
13.056875,3.9416327,4
6.344683,-1.5113599,4
12.166492,-3.1469598,4
21.206757,13.845021,4
2.791385,-6.4685054,4
5.5305724,17.908401,4
7.271597,1.279691,4
11.822389,12.47237,4
13.285992,13.230574,4
8.139535,9.993639,4
18.130861,-0.28381693,4
-1.0575776,-0.9804699,4
0.56680244,17.387922,4
11.835163,12.477887,4
8.842631,11.294975,4
4.143901,1.368165,4
2.9535105,3.8137186,4
14.603789,-4.305111,4
13.054184,-3.6113722,4
8.619267,13.466816,4
5.9411826,-2.5493798,4
18.618235,-2.4044542,4
9.070477,-2.1553495,4
5.2086854,10.166018,4
1.32709,17.619955,4
11.339969,0.09915798,4
17.365171,-1.6399509,4
17.926176,4.4089074,4
12.173139,0.5636201,4
13.804088,4.77365,4
