[REFCODE]	[_publ_authors]	[_journal_name_full]	[_journal_volume]	[_journal_pages]	[_journal_year]	[_chemical_formula_moiety]	[_chemical_name_systematic]	[_chemical_name_common]	[_chemical_compound_source]	[_chemical_melting_point]	[_exptl_crystal_colour]	[_chemical_QUAL]	[_chemical_NOTE]	[_symmetry_space_group_name]	[_symmetry_Int_Tables_number]	[_cell_length_a]	[_cell_length_b]	[_cell_length_c]	[_cell_angle_alpha]	[_cell_angle_beta]	[_cell_angle_gamma]	[_cell_volume]	[_rcell_length_a]	[_rcell_length_b]	[_rcell_length_c]	[_rcell_angle_alpha]	[_rcell_angle_beta]	[_rcell_angle_gamma]	[_rcell_volume]	[_molecular_volume]	[_cell_RESIDUES]	[_cell_formula_units_Z]	[_cell_formula_units_Zprime]	[_exptl_crystal_preparation]	[_exptl_crystal_description]	[POLYMORPH]	[_exptl_crystal_NOTES]	[_refine_ls_R_factor]	[_cell_measurement_temperature]	[_exptl_crystal_density_CCDC]	[_exptl_crystal_density_diffrn]	[_diffrn_measurement_device]	[_exptl_DISORDER]	[_exptl_QUAL]	[_ccdc_REMARK]	[PREF]	[BATC]	[ADAT]	[MDAT]	[NBSI]	[CDRE]	[MSDB]	[NBIT]	[MATF]	[CATF]	[CCOM]	[_ccdc_NOTES]	[_ccdc_RMARKS]	[_ccdc_QUAL]	[_ccdc_PROPS]	
AYUTIA	H.Gorls, R.Kretschmer, Geng-Hua Chang	CSD Communication(Private Communication) 			2021	C39 H52 Cl2 Fe1 Ge2 N4 O3,0.5(C6 H14)	(mu-N,N-(ethane-1,2-diyl)bis(N'-(2,6-di-isopropylphenyl)pentane-2,4-di-iminato))-tricarbonyl-dichloro-di-germanium-iron n-hexane solvate				light yellow			P21/c	14	14.0236	15.1365	20.8142	90.0	98.812	90.0	4366.042	14.0236	15.1365	20.8142	90.0	98.812	90.0	4366.042	1091.5105	2	4.0	1.0		prism			3.49	123	1.43	1.43	3				AYUTIA	0	20210719	20211103	0	0	0	190	3	3			"CCDC: CCDC 2079722	"TEMP: 123 K	"COLOR: light yellow "HABIT: prism	
CAMLEL	Song Xu, L.A.Essex, J.Q.Nguyen, P.Farias, J.W.Ziller, W.Hill Harman, W.J.Evans	Dalton Trans. 	50	15000	2021	C34 H44 B2 N2 Sm1,C28 H46 O2 Sm1,C6 H14	bis(pentamethylcyclopentadienyl)-bis(tetrahydrofuran)-samarium(iii) (5,10-dimethyl-5,10-dihydro-5,10-diazenoboranthrene)-bis(pentamethylcyclopentadienyl)-samarium(iii) hexane solvate				yellow		Air-sensitive,Moisture-sensitive,Heat-sensitive,Oxygen-sensitive	C2/c	15	17.853	21.946	17.947	90.0	112.1061	90.0	6514.761	14.14529	14.14529	17.947	103.738	103.738	101.7435	3257.381	1628.69025	3	4.0	0.5	layering hexane over toluene solution	irregular			2.68	133	1.329	1.329	3				CAMLEL	0	20211025	20211102	0	0	0	164	3	3			"CCDC: CCDC 2059513 "DOI: 10.1039/D1DT03220H	"TEMP: 133 K	"COLOR: yellow "HABIT: irregular "SOURCE-CHEM: layering hexane over toluene solution "SENS: Air-sensitive,Moisture-sensitive,Heat-sensitive,Oxygen-sensitive	
EBOVAW	M.Sakamoto, N.Uemura, T.Nakamura, Y.Yoshida, T.Mino	CSD Communication(Private Communication) 			2021	C22 H30 N2 O3 S1,0.5(C6 H14)	1,3-dicyclohexyl-5-hydroxy-5-(3-methoxyphenyl)-2-thioxoimidazolidin-4-one n-hexane solvate				colorless			P-1	2	8.5444	11.8338	12.9065	84.927	74.461	76.781	1223.483	8.5444	11.8338	12.9065	84.927	74.461	76.781	1223.483	611.7415	2	2.0	1.0	Re-crystallisation from solvent: CHCl3 and Hexane	plate			4.75	173	1.21	1.21	3				EBOVAW	0	20210827	20211210	0	0	0	155	3	3			"CCDC: CCDC 2105825	"TEMP: 173 K	"COLOR: colorless "HABIT: plate "SOURCE-CHEM: Re-crystallisation from solvent: CHCl3 and Hexane	
GANROG	A.Emmerich, C.G.Daniliuc, A.Studer	Macromol.Rapid Commun. 	9	2100030	2021	C51 H62 B1 N1 O10,C6 H14	tetraethyl 6-[1-methyl-2-phenyl-2-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)-2,3-dihydro-1H-indol-3-yl]-3,6-diphenylhexane-1,1,4,4-tetracarboxylate hexane solvate				colorless	absolute configuration		P212121	19	11.5466	17.2852	26.7829	90.0	90.0	90.0	5345.473	11.5466	17.2852	26.7829	90.0	90.0	90.0	5345.473	1336.36825	2	4.0	1.0		plate			3.98	100	1.176	1.175	3		absolute configuration		GANROG	0	20211203	20220119	0	0	0	186	3	3			"CCDC: CCDC 2040823 "DOI: 10.1002/marc.202100030	"TEMP: 100 K "ABS-CONFIG: absolute configuration	"COLOR: colorless "HABIT: plate	
GAQRUP	E.Horno, J.Jover, M.Mena, A.Perez-Redondo, C.Yelamos	Chem.-Eur.J. 	28		2021	C28 H56 Al2 Cl2 O2 Ti2,0.5(C6 H14)	hexakis(mu-hydrido)-bis(eta$5!-pentamethylcyclopentadienyl)-dichloro-bis(diethyl ether)-di-aluminium(iii)-di-titanium(ii) n-hexane				black		Air-sensitive,Moisture-sensitive,Heat-sensitive,Oxygen-sensitive,Pyrophoric	P21/c	14	12.047	14.282	22.512	90.0	100.74	90.0	3805.459	12.047	14.282	22.512	90.0	100.74	90.0	3805.459	951.36475	2	4.0	1.0	n-hexane	prism			4.68	150	1.202	1.202	3				GAQRUP	0	20211204	20220217	0	0	0	140	3	3			"CCDC: CCDC 2019997 "DOI: 10.1002/chem.202103085	"TEMP: 150 K	"COLOR: black "HABIT: prism "SOURCE-CHEM: n-hexane "SENS: Air-sensitive,Moisture-sensitive,Heat-sensitive,Oxygen-sensitive,Pyrophoric	
JAJWIE	Liyan Wang, Chenyang Huang, Fenglian Hu, Wen Cui, Yiqing Li, Jingwen Li, Jiawen Zong, Xicheng Liu, Xiang-Ai Yuan, Zhe Liu	Dalton Trans. 	50	15888	2021	C35 H32 Cl1 Ir1 N2 O1,0.5(C6 H14)	(2-({[4-(9H-carbazol-9-yl)phenyl]imino}methyl)phenolato)-chloro-(pentamethyl-cyclopentadienyl)-iridium n-hexane solvate				yellow			P21/n	14	16.4918	10.0684	21.121	90.0	109.031	90.0	3315.371	10.0684	16.4918	21.121	109.031	90.0	90.0	3315.371	828.84275	2	4.0	1.0					3.41	298	1.537	1.537	3		298 K		YAGHOH	0	20211028	20220216	0	0	0	164	3	3			"CCDC: CCDC 2106789 "DOI: 10.1039/D1DT02959B	"TEMP: 298 K	"COLOR: yellow	
JAMTEA	J.Messelberger, P.Pinter, F.W.Heinemann, Dominik Munz	Mendeleev Commun. 	31	471	2021	C37 H45 F6 N5 O6 Pb1 S2,0.5(C6 H14),C7 H8	(1,1'-(pyridine-2,6-diyl)bis(3-(2,6-di-isopropylphenyl)imidazolidin-2-ylidene))-bis(trifluoromethanesulfonato)-lead(ii) n-hexane toluene solvate				colorless		air- and moisture-sensitive	P21/c	14	20.6774	13.1044	18.8317	90.0	98.208	90.0	5050.459	13.1044	18.8317	20.6774	98.208	90.0	90.0	5050.459	1262.61475	3	4.0	1.0	toluene/n-hexane	plate			2.41	100	1.547	1.547	3				JAMTEA	0	20211101	20211201	0	0	0	213	3	3			"CCDC: CCDC 2074842 "DOI: 10.1016/j.mencom.2021.07.011	"TEMP: 100 K	"COLOR: colorless "HABIT: plate "SOURCE-CHEM: toluene/n-hexane "SENS: air- and moisture-sensitive	
KASCAM	D.A.Buschmann, D.Schneider, C.Maichle-Mossmer, R.Anwander	Eur.J.Inorg.Chem. 	2022		2021	C74 H114 Ce8 I14 Si8,C6 H14	bis(mu-cyclopentadienyl)-tetradecakis(mu-iodo)-octakis(1-(trimethylsilyl)cyclopentadienyl)-octa-cerium hexane solvate				yellow		Air-sensitive,Moisture-sensitive	P-1	2	12.5067	16.7089	16.7606	112.741	105.171	96.447	3026.696	12.5067	16.7089	16.7606	112.741	105.171	96.447	3026.696	3026.696	2	1.0	0.5		plate			3.42	100	2.311	2.311	3				KASCAM	0	20211129	20220213	0	0	0	86	3	3			"CCDC: CCDC 2114133 "DOI: 10.1002/ejic.202100862	"TEMP: 100 K	"COLOR: yellow "HABIT: plate "SENS: Air-sensitive,Moisture-sensitive	
LANZEJ	A.Caise, A.E.Crumpton, P.Vasko, J.Hicks, C.McManus, N.H.Rees, S.Aldridge	Angew.Chem.,Int.Ed. 	61		2021	C80 H142 N8 Sn4,2(C6 H14)	bis(2,6-bis{[bis(propan-2-yl)amino]methyl}phenyl-C,N)-bis(2,6-bis{[bis(propan-2-yl)amino]methyl}phenyl-C)-dihydrido-tetra-tin hexane solvate				yellow			P-1	2	13.0165	13.5875	15.6892	99.892	101.155	108.85	2493.009	13.0165	13.5875	15.6892	99.892	101.155	108.85	2493.009	2493.009	2	1.0	0.5		block			3.88	150	1.241	1.241	3				LANZEJ	0	20211222	20220205	0	0	0	157	3	3			"CCDC: CCDC 2094343 "DOI: 10.1002/anie.202114926	"TEMP: 150.2 K	"COLOR: yellow "HABIT: block	
LAPMAU	D.W.N.Wilson, D.D.L.Jones, C.D.Smith, M.Mehta, C.Jones, J.M.Goicoechea	Dalton Trans. 	51	898	2022	C102 H134 Mg4 N8 P2,C6 H14	bis(mu-t-butylmethylenephosphide)-tetrakis(N,N'-dimesitylpentane-2,4-di-iminato)-tetra-magnesium n-hexane solvate				orange			P21/n	14	13.599	22.4045	16.8412	90.0	94.715	90.0	5113.792	13.599	16.8412	22.4045	90.0	90.0	94.715	5113.792	2556.896	2	2.0	0.5		block			3.75	150	1.115	1.115	3				LAPMAU	0	20211222	20220121	0	0	0	173	3	3			"CCDC: CCDC 2123992 "DOI: 10.1039/D1DT03990C	"TEMP: 150 K	"COLOR: orange "HABIT: block	
