X,Y,N
4.6682854,4.0875325,4
5.192933,4.976356,4
8.618706,3.4150066,4
4.252328,14.761516,4
6.2050714,6.169212,4
6.4004793,7.8752613,4
4.749469,3.513497,4
-6.6662784,-9.812587,4
7.669562,5.623343,4
4.9667535,7.185513,4
4.251493,3.576651,4
3.423985,4.331268,4
20.880049,3.1253169,4
20.572172,-0.10150288,4
5.0765767,5.3682356,4
-4.909978,-9.828439,4
5.244452,4.9157753,4
6.721059,1.9134434,4
10.429392,0.09577259,4
5.3815994,5.2784214,4
11.140438,5.281471,4
10.942839,2.4543054,4
5.3289976,3.4484506,4
9.381056,-1.5706353,4
8.846262,-4.6792994,4
7.9054036,6.0303736,4
4.241346,3.6494057,4
6.7678013,3.6493645,4
-4.8487487,-11.114545,4
-0.50697744,16.997374,4
3.8771794,4.5601344,4
5.3595457,-8.963768,4
7.843681,-2.5837102,4
5.456373,5.709166,4
4.7655754,5.2354355,4
9.394245,5.1001472,4
6.931748,4.685192,4
9.093771,2.7563958,4
6.362039,-9.748219,4
5.85132,8.180317,4
4.9726176,5.3545794,4
6.5667715,7.099128,4
5.18149,5.9168196,4
4.976329,3.5057871,4
7.8410316,4.7795835,4
6.295118,8.166073,4
19.660973,0.380624,4
4.2879596,3.7222488,4
-5.5955014,21.8161,4
4.5137115,3.1872902,4
4.315243,6.2334547,4
8.88597,5.716395,4
3.5223863,1.7061391,4
6.798294,4.162073,4
6.5071273,-9.16843,4
5.554079,5.0899677,4
10.766344,2.9412582,4
10.424651,6.607306,4
7.3961105,5.136849,4
6.4304643,3.2033813,4
6.8871894,-9.236104,4
5.837823,7.708078,4
10.016384,1.3141992,4
4.8359265,7.215947,4
4.263894,3.7150218,4
6.3577566,4.822305,4
10.978665,5.4647965,4
9.476929,3.9750996,4
4.0122905,4.5961127,4
8.456155,6.3149767,4
6.7864857,5.5250797,4
8.119401,6.0945673,4
5.5566626,5.0720696,4
8.316111,6.2094035,4
6.613862,5.583343,4
5.1404657,3.5097308,4
-5.2478824,-10.018557,4
18.608232,-0.45597374,4
8.441437,-4.0525017,4
10.400331,3.1973805,4
-5.090365,-9.452381,4
4.619431,3.0869203,4
-4.4360905,-9.479032,4
5.9802413,0.0753951,4
14.463648,-2.1072881,4
11.3063345,6.5781937,4
10.603667,2.196873,4
6.8050847,3.2242484,4
6.5493765,6.049155,4
6.123319,8.148723,4
6.015255,3.4794028,4
10.75045,-1.1246564,4
4.8552628,-9.684739,4
-5.830831,-10.949459,4
6.158173,5.9493885,4
-5.5280805,-10.0491905,4
6.311191,7.9952245,4
4.8230863,7.209271,4
-6.2585683,-9.876006,4
4.631252,3.7225993,4
-7.088394,-6.9735975,4
-3.2575243,-8.369634,4
13.672613,-0.9826849,4
6.5468373,4.874722,4
9.204772,-5.2736225,4
8.360877,0.072509386,4
6.37823,-2.4252262,4
8.658566,5.7891703,4
10.418523,2.0084925,4
5.34965,4.996327,4
19.79894,-0.14160344,4
6.856604,4.148384,4
5.2268567,4.060794,4
7.4362597,6.7518516,4
6.770462,-2.1465268,4
12.019048,1.3091074,4
5.7109857,5.118216,4
8.626862,6.3051763,4
6.680651,-2.0328255,4
7.373767,0.19547081,4
10.952349,6.2447968,4
6.9664755,7.2241473,4
6.4515843,5.3405447,4
