X,Y,N
7.464676,0.556956,4
6.0328307,1.4365951,4
6.0644193,8.009486,4
2.103114,18.775614,4
6.3645554,3.43781,4
10.118447,4.729561,4
7.7055984,-0.42145756,4
-8.356587,2.6863961,4
6.5394764,4.4466567,4
10.586661,3.4843755,4
8.063963,-0.6125662,4
5.0612864,0.50926936,4
21.088633,0.8583538,4
20.033632,-0.12222552,4
7.2503643,2.0980787,4
-8.94852,2.9831474,4
6.066039,1.390595,4
5.0229793,6.654306,4
10.098475,8.454176,4
7.4675374,1.9244083,4
7.7973533,6.9833274,4
7.4550433,8.488816,4
3.4707658,6.184216,4
10.272745,8.07172,4
10.88802,10.637112,4
7.613429,4.9257126,4
8.052132,-0.60419345,4
4.9539576,6.1737137,4
-9.203417,3.214507,4
2.1166995,18.789042,4
6.5413785,0.53752047,4
2.1965532,-6.5941563,4
9.976504,10.930852,4
7.949704,2.901286,4
6.8266296,1.9425821,4
6.186318,7.523749,4
5.5023746,4.816714,4
7.0273504,8.86406,4
2.1225626,-6.6222525,4
10.360574,4.06567,4
7.2297907,1.9188536,4
9.767208,5.130721,4
4.904746,2.357577,4
7.3825517,-0.35941333,4
6.1015973,6.1428304,4
10.261747,4.4075294,4
19.427675,-0.1343667,4
7.815014,-0.61984444,4
2.1446095,18.817148,4
8.317216,-0.38664368,4
4.852642,2.2971902,4
6.7144327,5.3834963,4
11.604093,1.3169698,4
5.039523,5.528525,4
2.2968829,-6.5346932,4
6.112459,1.9802603,4
7.156773,8.412496,4
7.7834916,6.535187,4
6.165385,4.777747,4
4.617887,6.9013968,4
1.6893556,-6.2569804,4
9.782998,3.7052596,4
8.336195,9.162459,4
9.808365,2.6797707,4
7.8286476,-0.648434,4
5.233408,4.8340898,4
7.763543,6.8763595,4
6.328021,7.8789945,4
5.432168,0.9518188,4
7.4589853,5.2858696,4
5.833955,3.5757606,4
7.5741863,4.9712934,4
6.1270943,1.968922,4
7.5226483,5.117747,4
5.82556,3.6236067,4
7.2809916,-0.3875342,4
-9.482748,2.981306,4
19.22652,-0.1977675,4
10.1451235,11.01295,4
7.0690904,8.164543,4
-8.710564,3.0756986,4
8.180771,-0.17038675,4
-8.276671,3.8394222,4
8.303436,0.12274914,4
11.352247,9.842057,4
7.779137,6.7271667,4
7.5485606,8.559616,4
4.9655223,6.683596,4
6.2912335,3.7004771,4
10.322328,4.373862,4
4.6177454,6.092318,4
10.452419,7.883916,4
2.121162,-6.6990557,4
-9.469206,3.0163777,4
6.3040404,3.4280262,4
-8.618968,2.7891514,4
10.149841,4.6772475,4
9.881235,2.5953302,4
-8.402091,2.967391,4
7.6469717,0.21324186,4
-8.936367,3.6199434,4
-8.877396,3.3646162,4
11.205478,8.478089,4
5.6286154,2.1350741,4
11.048633,10.203434,4
8.624801,9.543138,4
9.31262,10.757714,4
6.6121006,5.3161573,4
7.760033,8.714075,4
6.1445274,1.509867,4
19.928719,-0.15463573,4
5.131728,5.495428,4
6.901183,1.1917292,4
8.102068,5.0013957,4
9.584122,9.664352,4
6.991784,9.274327,4
4.7139053,4.4567475,4
7.276507,5.411219,4
8.949447,10.787548,4
8.444366,10.143199,4
7.705435,6.754418,4
9.627079,5.216806,4
5.7428064,4.121774,4
6.8396263,2.1527464,4
9.594127,9.5780735,4
6.5515447,8.155853,4
6.753917,1.946189,4
5.541725,0.51519805,4
7.4393506,0.6992483,4
8.538633,4.3140645,4
7.800722,9.026175,4
10.540771,3.6272283,4
5.1759987,6.9304314,4
6.9874063,1.5412359,4
4.5764785,5.256466,4
3.520291,6.236439,4
3.5948749,6.2827873,4
9.014168,9.830003,4
10.247651,4.566408,4
7.395894,5.31147,4
9.531494,9.604344,4
5.869066,4.840585,4
4.182369,6.409063,4
5.5714154,5.647537,4
9.702119,3.187851,4
4.6787467,1.3316667,4
9.669102,5.2645135,4
4.704904,6.6463842,4
10.569551,7.7166862,4
6.4804893,3.3730536,4
8.214184,-0.047098573,4
6.4429274,4.194226,4
4.986151,6.8013,4
21.298204,1.0865144,4
7.833827,0.7828173,4
5.047817,6.5765457,4
10.347502,11.068867,4
8.175487,-0.4621887,4
6.4751735,0.51020366,4
4.7933574,2.166436,4
7.811659,6.760018,4
-7.9489107,3.3982315,4
8.19365,1.1939414,4
5.6484103,3.3109696,4
8.627819,10.682495,4
5.564337,3.398821,4
7.230983,6.94347,4
10.479619,4.254742,4
6.015364,6.72748,4
5.799159,0.9296386,4
20.646704,0.41648746,4
10.801721,8.447798,4
7.8877764,2.2643156,4
9.935342,2.668708,4
7.460415,2.9943151,4
8.043762,-0.44429907,4
5.8575516,1.7835056,4
6.7310147,1.9470923,4
8.618833,3.2530723,4
19.827715,-0.110998176,4
6.279472,3.8531692,4
9.98492,2.8206048,4
9.159211,9.815913,4
4.63408,1.5889382,4
7.1205044,9.238103,4
4.4850454,1.5418345,4
10.69354,10.014686,4
5.448983,5.6599436,4
1.4489915,4.9047513,4
1.6438472,-6.360893,4
-9.25605,3.2152884,4
4.830333,2.2506633,4
7.7561703,6.7149744,4
-9.067507,2.9300516,4
7.7534676,2.6532357,4
4.2049685,6.5675344,4
10.297928,4.561626,4
7.935875,1.5747528,4
-8.877447,3.4721766,4
6.6430674,2.5948613,4
-8.443265,3.3154478,4
7.897145,2.579412,4
9.005035,10.253297,4
11.599076,1.3158456,4
6.3036046,8.084632,4
7.3094,-0.19156002,4
5.8219094,7.1267266,4
19.098206,-0.29154554,4
4.785603,0.9657208,4
11.322153,9.649258,4
1.4466994,4.9025645,4
-9.115924,3.0427773,4
6.5133348,7.9309316,4
19.814657,-0.25945374,4
2.1139412,18.786318,4
-8.55024,2.7253103,4
5.465486,0.5827666,4
20.537987,0.31180817,4
20.764576,0.5215826,4
6.2443175,3.804341,4
10.688275,10.672122,4
5.6889305,2.7066925,4
8.5610895,3.1410816,4
-9.398164,2.9552226,4
4.5108786,5.7048254,4
10.50857,3.3291962,4
-7.887326,3.2039769,4
10.170505,11.047027,4
-8.925894,3.3563366,4
-8.009546,3.0234437,4
6.831824,5.4440274,4
20.357334,0.146972,4
9.636308,5.4312177,4
8.629303,9.668496,4
9.577804,9.702663,4
10.292482,7.9221153,4
7.4333324,2.0774739,4
10.522008,10.177941,4
7.7868485,6.6423864,4
4.463743,1.5405854,4
-8.473502,3.923815,4
7.6793056,2.3593416,4
5.895272,1.8614504,4
5.3592095,5.3696413,4
7.4310646,4.8198814,4
6.814235,1.9198054,4
3.4997547,6.2305675,4
7.0648046,9.28947,4
5.6065507,2.2511234,4
2.112327,-6.68643,4
20.721954,0.48484862,4
6.935329,7.19857,4
10.31482,5.1192627,4
20.467827,0.25079393,4
10.445711,8.2594,4
5.805712,4.771738,4
5.4395022,0.91820616,4
8.709947,3.33431,4
10.951054,8.6909485,4
20.690208,0.46012524,4
1.4465009,4.901853,4
21.36318,1.1592513,4
21.313555,1.1065862,4
4.6972003,6.4971027,4
-8.50008,2.8810353,4
10.718591,10.737971,4
-8.384093,3.890556,4
8.555241,3.186241,4
9.817788,3.4879632,4
7.0396056,9.306305,4
10.368239,4.106529,4
7.905199,0.036526643,4
4.466916,4.7392163,4
7.9328923,8.876755,4
1.6568799,-6.3126683,4
7.386292,0.15442288,4
19.22627,-0.15569262,4
1.8806343,-6.4140906,4
10.242178,8.5890465,4
7.6915097,1.7298884,4
1.6157231,-6.3831573,4
1.8318268,-6.5156856,4
6.593722,2.406909,4
5.6504617,4.651867,4
9.869965,3.7748518,4
5.1819863,0.39750177,4
10.085546,4.6448646,4
9.001204,3.2815933,4
7.041747,1.3918256,4
2.1003332,-6.691214,4
9.937679,3.9292572,4
1.4846967,4.9307065,4
-8.147332,3.6133122,4
2.3297913,-6.4937534,4
7.6850333,0.92208064,4
11.334667,9.732764,4
7.4893646,9.078541,4
9.738639,9.227063,4
7.702526,0.5227796,4
10.431608,3.7765112,4
19.273579,-0.1439138,4
4.4989586,6.779333,4
20.908962,0.6658861,4
9.403175,10.455244,4
10.008326,3.951477,4
9.599556,5.2664995,4
-7.920962,3.2646575,4
10.656269,10.032314,4
19.764164,-0.25856254,4
6.840626,2.7540932,4
7.539046,2.3466172,4
8.765246,9.770305,4
4.5288506,5.5367403,4
6.0996747,6.360214,4
8.632069,3.5497646,4
5.3006797,5.153934,4
10.99823,8.626756,4
-9.493155,3.045988,4
8.112886,3.078852,4
5.64041,5.6354904,4
7.594517,-0.63665116,4
7.54981,5.7854724,4
9.561898,9.692774,4
9.8232155,3.4536316,4
20.064127,-0.07516262,4
4.992861,2.479328,4
7.3124714,-0.40304375,4
4.577306,4.653369,4
7.362509,9.119722,4
7.556019,1.9715621,4
6.061721,8.03827,4
7.0658035,8.505852,4
4.6122804,5.97006,4
4.22739,6.6585846,4
8.1108,1.7752194,4
7.688265,5.7760897,4
7.5570817,1.9136955,4
-8.910795,2.8132136,4
6.646563,7.3209805,4
5.4369774,4.8891044,4
9.913419,2.6280394,4
2.1135204,18.786013,4
7.706004,1.4266074,4
5.524178,5.671456,4
5.9697843,6.633738,4
11.256086,10.0218,4
-8.382198,3.1873624,4
7.6091113,5.771814,4
2.1003768,18.772968,4
9.388769,10.735719,4
5.95132,0.14544658,4
-9.179799,2.9467824,4
11.325201,10.614603,4
2.2997377,-6.571388,4
9.12914,10.325653,4
6.881739,5.5264196,4
7.9242873,1.767688,4
6.872541,1.5874283,4
8.007349,1.9546337,4
4.4551954,6.780162,4
5.662142,7.0860515,4
4.4573646,1.6369029,4
5.8676796,0.25371695,4
5.395188,3.0307915,4
8.613083,1.455852,4
10.189613,8.525673,4
9.849294,4.9971786,4
19.716417,-0.24889159,4
10.409191,4.1166425,4
7.6074567,6.800566,4
8.924303,9.817716,4
-9.215484,3.3575335,4
8.1860075,1.368807,4
5.678128,4.305516,4
9.879304,2.9141695,4
9.41221,10.414755,4
11.120369,9.196229,4
9.3303,10.528625,4
6.956205,5.413338,4
5.583899,4.038768,4
4.837163,6.5293007,4
4.218444,6.5864453,4
19.320644,-0.21752253,4
5.3246627,7.0026345,4
-9.255086,3.4085,4
7.5380883,0.2385607,4
8.028926,2.8889592,4
10.261704,11.049656,4
9.312242,3.1632783,4
9.535656,10.96265,4
7.7148547,-0.7193634,4
7.307375,-0.33620337,4
10.322738,5.0609303,4
4.709091,5.37413,4
6.5903187,4.940201,4
