structure_code,temperature_k,source,temperature_column,temperature_remark,line_number
AYUTIA,123.0,temperature_column,123.0,,2
CAMLEL,133.0,temperature_column,133.0,,3
EBOVAW,173.0,temperature_column,173.0,,4
GANROG,100.0,temperature_column,100.0,,5
GAQRUP,150.0,temperature_column,150.0,,6
JAJWIE,298.0,temperature_column,298.0,,7
JAMTEA,100.0,temperature_column,100.0,,8
KASCAM,100.0,temperature_column,100.0,,9
LANZEJ,150.0,temperature_column,150.0,,10
LAPMAU,150.0,temperature_column,150.0,,11
NANTEF,100.0,temperature_column,100.0,,12
NARPIJ,198.0,temperature_column,198.0,,13
NAVSOW,100.0,temperature_column,100.0,,14
NAVSUC,100.0,temperature_column,100.0,,15
RANSIM,123.0,temperature_column,123.0,,16
SALFIY,100.0,temperature_column,100.0,,17
WAWJEN,100.0,temperature_column,100.0,,18
XAVMAM,100.0,temperature_column,100.0,,19
ZAKSUD,100.0,temperature_column,100.0,,20
ABICAP,173.0,temperature_column,173.0,,21
ACAMAV,100.0,temperature_column,100.0,,22
ADEBAO,100.0,temperature_column,100.0,,23
ADUBOR,220.0,temperature_column,220.0,,24
AFOKEL,173.0,temperature_column,173.0,,25
AFOREV,100.0,temperature_column,100.0,,26
AGEHEZ,293.0,temperature_column,293.0,,27
AGISUF,173.0,temperature_column,173.0,,28
AHAVUA,220.0,temperature_column,220.0,,29
AHEDUN,143.0,temperature_column,143.0,,30
AJENAE,183.0,temperature_column,183.0,,31
AKAXIV,150.0,temperature_column,150.0,,32
AKEXOF,100.0,temperature_column,100.0,,33
AKIKAH,123.0,temperature_column,123.0,,34
AKIQAP,180.0,temperature_column,180.0,,35
AKIQET,180.0,temperature_column,180.0,,36
AKIYEB,140.0,temperature_column,140.0,,37
AKIYOL,140.0,temperature_column,140.0,,38
AKUTOR,100.0,temperature_column,100.0,,39
ALEXOG,100.0,temperature_column,100.0,,40
ANUDUJ,100.0,temperature_column,100.0,,41
APIHUE,150.0,temperature_column,150.0,,42
APOTEE,133.0,temperature_column,133.0,,43
ARODUI,93.0,temperature_column,93.0,,44
AROXAJ,98.0,temperature_column,98.0,,45
ASASIX,293.0,temperature_column,293.0,,46
ASATEW,173.0,temperature_column,173.0,,47
ASOKEB,100.0,temperature_column,100.0,,48
ASOVOW,100.0,temperature_column,100.0,,49
ASUHUT,294.0,temperature_column,294.0,,50
ATUQIQ,185.0,temperature_column,185.0,,51
AWAHEO,90.0,temperature_column,90.0,,52
BACWEJ,133.0,temperature_column,133.0,,53
BADLEZ,100.0,temperature_column,100.0,,54
BADQAA,100.0,temperature_column,100.0,,55
BAJLII,190.0,temperature_column,190.0,,56
BAPQER,100.0,temperature_column,100.0,,57
BAPYUN,296.0,temperature_column,296.0,,58
BAXPOH,100.0,temperature_column,100.0,,59
BAZRAX,123.0,temperature_column,123.0,,60
BEJVUJ,110.0,temperature_column,110.0,,61
BEJWEU,110.0,temperature_column,110.0,,62
BEJWOE,173.0,temperature_column,173.0,,63
BEJWUK,200.0,temperature_column,200.0,,64
BELBAW,103.0,temperature_column,103.0,,65
BELNOY,180.0,temperature_column,180.0,,66
BETLUK,130.0,temperature_column,130.0,,67
BEYDIS,153.0,temperature_column,153.0,,68
BICJIH,203.0,temperature_column,203.0,,69
BICXIW,185.0,temperature_column,185.0,,70
BILBED,295.0,temperature_column,295.0,,71
BIRYEJ,203.0,temperature_column,203.0,,72
BOBTUH,295.0,temperature_column,295.0,,73
BODNIR,208.0,temperature_column,208.0,,74
BOHJEQ,120.0,temperature_column,120.0,,75
BOHYUU,90.0,temperature_column,90.0,,76
BOKVOP,100.0,temperature_column,100.0,,77
BOQJEX,150.0,temperature_column,150.0,,78
BOQJIB,150.0,temperature_column,150.0,,79
BOSSIM,100.0,temperature_column,100.0,,80
BOTGAU,100.0,temperature_column,100.0,,81
BUHXIN,100.0,temperature_column,100.0,,82
BUJMUP,150.0,temperature_column,150.0,,83
BUJRIJ,123.0,temperature_column,123.0,,84
CACKAW,100.0,temperature_column,100.0,,85
CAFHAW,100.0,temperature_column,100.0,,86
CAFHUQ,100.0,temperature_column,100.0,,87
CAPROD,150.0,temperature_column,150.0,,88
CAQJEK,173.0,temperature_column,173.0,,89
CATVOL,100.0,temperature_column,100.0,,90
CAXZAD,100.0,temperature_column,100.0,,91
CAYRIF,100.0,temperature_column,100.0,,92
CAZPIF,100.0,temperature_column,100.0,,93
CDFPBC,295.0,temperature_column,295.0,,94
CEBCEU,88.0,temperature_column,88.0,,95
CEBLAZ,133.0,temperature_column,133.0,,96
CEBNEF,133.0,temperature_column,133.0,,97
CEBTEL,100.0,temperature_column,100.0,,98
CECFOH,100.0,temperature_column,100.0,,99
CEDMEE,93.0,temperature_column,93.0,,100
CEDMOO,130.0,temperature_column,130.0,,101
CELRIX,100.0,temperature_column,100.0,,102
CERTAV,113.0,temperature_column,113.0,,103
CERTIE,100.0,temperature_column,100.0,,104
CESFIR,100.0,temperature_column,100.0,,105
CESSOK,100.0,temperature_column,100.0,,106
CETVII,100.0,temperature_column,100.0,,107
CEXFUI,123.0,temperature_column,123.0,,108
CEZXIP,173.0,temperature_column,173.0,,109
CIFPUE,110.0,temperature_column,110.0,,110
CIGFAC,295.0,temperature_column,295.0,,111
CIJFIN,150.0,temperature_column,150.0,,112
CIJRIW,153.0,temperature_column,153.0,,113
CILYED,100.0,temperature_column,100.0,,114
CIWLIE,223.0,temperature_column,223.0,,115
CIWLOK,219.0,temperature_column,219.0,,116
CIYTOW,150.0,temperature_column,150.0,,117
CIZZET,123.0,temperature_column,123.0,,118
COJRIF,120.0,temperature_column,120.0,,119
COKDOX,150.0,temperature_column,150.0,,120
COPZEM,295.0,temperature_column,295.0,,121
