[REFCODE]	[_publ_authors]	[_journal_name_full]	[_journal_volume]	[_journal_pages]	[_journal_year]	[_chemical_formula_moiety]	[_chemical_name_systematic]	[_chemical_name_common]	[_chemical_compound_source]	[_chemical_melting_point]	[_exptl_crystal_colour]	[_chemical_QUAL]	[_chemical_NOTE]	[_symmetry_space_group_name]	[_symmetry_Int_Tables_number]	[_cell_length_a]	[_cell_length_b]	[_cell_length_c]	[_cell_angle_alpha]	[_cell_angle_beta]	[_cell_angle_gamma]	[_cell_volume]	[_rcell_length_a]	[_rcell_length_b]	[_rcell_length_c]	[_rcell_angle_alpha]	[_rcell_angle_beta]	[_rcell_angle_gamma]	[_rcell_volume]	[_molecular_volume]	[_cell_RESIDUES]	[_cell_formula_units_Z]	[_cell_formula_units_Zprime]	[_exptl_crystal_preparation]	[_exptl_crystal_description]	[POLYMORPH]	[_exptl_crystal_NOTES]	[_refine_ls_R_factor]	[_cell_measurement_temperature]	[_exptl_crystal_density_CCDC]	[_exptl_crystal_density_diffrn]	[_diffrn_measurement_device]	[_exptl_DISORDER]	[_exptl_QUAL]	[_ccdc_REMARK]	
ABALUM	H.-K.Fun, C.K.Quah, Nithinchandra, B.Kalluraya	Acta Crystallogr.,Sect.E:Struct.Rep.Online 	67	o2670	2011	C10 H9 Cl1 N4 O1	4-[2-(4-Chlorophenyl)hydrazinylidene]-3-methyl-1H-pyrazol-5(4H)-one				yellow			P21/c	14	15.8496	3.8184	20.3794	90.0	123.575	90.0	1027.592	3.8184	15.8496	17.58601	105.0932	90.0	90.0	1027.592	256.898	1	4.0	1.0		needle			6.29	100	1.53	1.53	3				
ABEMON	K.Moriguchi, R.Sasaki, J.Morita, Y.Kamakura, D.Tanaka, Yoo Tanabe	ACS Omega 	6	18135	2021	C17 H11 Br1 Cl2	2-(bromomethyl)-4,7-dichloro-1-phenylnaphthalene				colorless			P-1	2	9.203	9.842	16.93	84.23	89.62	77.39	1488.694	9.203	9.842	16.93	84.23	89.62	77.39	1488.694	372.1735	1	4.0	2.0		Platelet			5.48	150	1.633	1.633	3				
ABENUR	R.T.Stibrany, H.J.Schugar, J.A.Potenza	Acta Crystallogr.,Sect.E:Struct.Rep.Online 	60	o1603	2004	C10 H10 Cl2 N2	5,6-Dichloro-1-propyl-1H-benzimidazole				colorless			P-1	2	6.2342	9.4516	9.8012	104.207	91.138	101.849	546.421	6.2342	9.4516	9.8012	104.207	91.138	101.849	546.421	273.2105	1	2.0	1.0		rod			6.4	297	1.392	1.392	3		at 297 K		
ABESUW	H.Ali, M.S.Yusof, N.A.Khamis, A.S.Mardi, B.M.Yamin	Acta Crystallogr.,Sect.E:Struct.Rep.Online 	60	o1656	2004	C15 H11 Cl2 N3 O2 S1	2-Chloro-N-(N-(4-chlorobenzoyl)hydrazinocarbothioyl)benzamide				colorless			P-1	2	7.498	10.449	11.861	110.37	104.62	96.57	821.725	7.498	10.449	11.861	110.37	104.62	96.57	821.725	410.8625	1	2.0	1.0	ethyl acetate	block			4.0	273	1.488	1.488	3				
ABUGUB	Xianmei Shang, Xianggao Meng, E.C.B.A.Alegria, Qingshan Li, M.F.C.G.da Silva, M.L.Kuznetsov, A.J.L.Pombeiro	Inorg.Chem. 	50	8158	2011	C28 H34 Cl2 O4 Sn1	bis(1-(4-chlorophenyl)cyclopentanecarboxylato)-(diethyl)-tin				colorless	screened for anticancer activity		P-1	2	9.5936	10.6822	15.1419	90.2	97.67	114.076	1401.202	9.5936	10.6822	15.1419	90.2	97.67	114.076	1401.202	700.601	1	2.0	1.0		block			4.66	298	1.479	1.479	3		at 298 K		
ABULAN	C.Palopoli, G.Gomez, Ana Foi, F.Doctorovich, S.Mallet-Ladeira, C.Hureau, S.Signorella	J.Inorg.Biochem. 	167	49	2017	C34 H24 Cl8 Mn2 N4 O6,2(C2 H6 O1 S1)	bis(mu-oxo)-bis(mu-2,2'-(propane-1,3-diylbis(azanylylidenemethanylylidene))bis(4,6-dichlorophenolato))-di-manganese(iv) dimethyl sulfoxide solvate				brown			P-1	2	11.094	11.3877	11.501	83.731	70.305	61.205	1196.34	11.094	11.3877	11.501	83.731	70.305	61.205	1196.34	1196.34	2	1.0	0.5		Prism			9.13	273	1.574	0.0	3				
ABUMOZ03	M.Aniola, K.Kwasna, Weizhao Cai, A.Katrusiak	Cryst.Growth Des. 	16	6304	2016	C6 H4 Cl2	1,3-dichlorobenzene				colorless			P21/c	14	3.7937	12.3189	25.349	90.0	93.59	90.0	1182.341	3.7937	12.3189	25.349	90.0	93.59	90.0	1182.341	147.792625	1	8.0	2.0		plate			2.13	296	1.652	1.652	3		0.88 GPa; 296 K		
ACEPOO	M.A.Prasad, B.Varghese, M.V.Sangaranarayanan	Acta Crystallogr.,Sect.E:Struct.Rep.Online 	60	o1933	2004	C6 H2 Br1 Cl2 I1	5-Bromo-1,3-dichloro-2-iodobenzene	Teaching Subset: Fundamental Chemistry, Symmetry			colorless			P21/c	14	11.63	10.02	16.3	90.0	109.84	90.0	1786.736	10.02	11.63	16.3	109.84	90.0	90.0	1786.736	223.342	1	8.0	2.0	hexane	block or plate			5.72	293	2.616	2.616	3		293 K		
ACIBIZ	A.Pejovic, D.Stevanovic, I.Damljanovic, M.Vukicevic, S.B.Novakovic, G.A.Bogdanovic, T.Mihajlov-Krstev, N.Radulovic, R.D.Vukicevic	Helv.Chim.Acta 	95	1425	2012	C19 H18 Cl1 Fe1 N1 O1	3-(4-Chlorophenylamino)-1-ferrocenylpropan-1-one				dark orange			P-1	2	7.3916	10.2424	13.864	95.634	102.539	99.872	999.352	7.3916	10.2424	13.864	95.634	102.539	99.872	999.352	499.676	1	2.0	1.0		prismatic			6.13	293	1.222	0.0	3		at 293 K		
ACIRAI	D.O.Prima, E.V.Vorontsova, A.G.Makarov, A.Yu.Makarov, I.Yu.Bagryanskaya, T.F.Mikhailovskaya, Y.G.Slizhov, A.V.Zibarev	Mendeleev Commun. 	27	439	2017	C6 H4 Cl4 N2	3,4,5,6-tetrachlorobenzene-1,2-diamine			499 K	colorless			P-1	2	7.0967	8.3807	8.6846	61.739	71.755	78.034	430.999	7.0967	8.3807	8.6846	61.739	71.755	78.034	430.999	215.4995	1	2.0	1.0		prism			2.68	296	1.895	1.895	3		296 K		
