X,Y,N
3.884462,0.7594952,4
-4.423477,-2.1365836,4
4.608484,7.8414073,4
-8.926005,-3.6106718,4
-7.7147207,-6.548365,4
-6.4240203,-2.5966387,4
4.3498964,-5.4527345,4
-1.2693202,9.870902,4
10.430749,1.3361744,4
10.400709,1.3944224,4
-7.6186776,-6.082402,4
-7.3519726,-2.528872,4
-4.515958,-7.4331107,4
9.334413,3.8256812,4
-4.4081087,-7.2273865,4
1.1119242,6.566177,4
3.25081,11.347407,4
-7.038163,-8.719023,4
-6.349174,-7.478093,4
1.7755734,1.2222146,4
-5.7296987,-4.0956397,4
8.394252,6.690455,4
8.375286,6.692692,4
2.8730772,6.8881836,4
10.574612,0.91411906,4
0.5606428,-9.063728,4
11.642024,0.882722,4
10.613874,0.88778085,4
9.829035,3.0340536,4
9.83494,3.0435581,4
0.3290155,-9.022224,4
-6.7867713,-8.248213,4
-4.9631557,-6.6950736,4
-6.4137945,-1.435179,4
1.3493782,-7.2055573,4
2.504299,-0.5763432,4
-0.26413426,-5.819031,4
11.351333,-0.89931464,4
6.2312927,-5.9279613,4
1.2395138,2.4059374,4
1.0135789,8.22029,4
0.22075015,4.8249817,4
-2.458804,-5.6887603,4
-4.6892486,-3.1690354,4
-3.7431462,-3.3061497,4
3.875401,-6.8405375,4
7.9669814,3.350537,4
7.960422,3.3637936,4
7.99938,3.3589153,4
11.312519,2.1905978,4
-3.3527257,8.764692,4
-5.29413,-6.9811864,4
1.4561193,-6.358706,4
-6.3840127,-1.3380551,4
-0.5347673,9.8428545,4
-6.3896246,-1.2798009,4
-5.7636285,-2.9473565,4
0.50731236,11.978317,4
3.6343174,-4.3825784,4
-8.56377,-3.9248042,4
-0.9676111,-2.5706494,4
2.2725508,-8.864202,4
6.587556,-7.044402,4
9.488069,2.5218315,4
6.04396,6.133348,4
9.208002,6.100386,4
9.382917,1.8243772,4
3.3191555,2.6723177,4
4.250414,7.2819676,4
2.452225,2.6582675,4
-1.0454478,9.816953,4
-0.72039336,9.824556,4
4.8749356,-6.5280037,4
-1.0578609,10.479448,4
8.762414,13.827022,4
3.9230936,4.0566363,4
2.4129112,1.0879812,4
-6.7748675,-5.9471602,4
-6.418236,-3.2458496,4
-9.165177,-3.0670888,4
-2.7032723,7.7476044,4
-2.0727856,-6.2673407,4
1.6690861,-5.3759756,4
2.418048,-0.6755771,4
11.354103,-0.7871289,4
-7.060275,-8.819335,4
-0.5326692,4.4176774,4
-7.6935596,-6.5321884,4
-0.11791038,9.305175,4
-0.3297424,11.836505,4
-8.282666,-2.5440118,4
-3.1396062,-9.374881,4
-1.2109594,10.176862,4
-0.8308275,-5.7776937,4
9.797293,1.2617958,4
-3.8381019,-6.238478,4
-9.394154,-4.29145,4
-2.734047,8.520165,4
10.12175,1.9694244,4
3.3342614,-0.47444877,4
-6.2247014,-3.1694684,4
0.14698744,-3.112179,4
11.205009,1.4250091,4
-2.3231862,-5.943766,4
2.6688526,-9.210921,4
9.6736355,3.0467746,4
6.3960443,4.148703,4
5.071267,3.9218578,4
-7.2094035,-2.2067976,4
-1.6397529,-0.3152636,4
6.170899,6.409388,4
12.246175,-5.3225565,4
9.88402,1.3923012,4
-2.110456,-5.682027,4
-2.5661552,-4.265085,4
3.8086615,4.76578,4
2.7967691,1.5970657,4
-0.52143806,11.221959,4
4.1510043,1.9017894,4
3.783396,3.6085517,4
3.0154943,-9.138421,4
-0.5429658,11.69967,4
-6.4231043,-2.3192701,4
-9.599939,-4.6205354,4
3.0056088,4.553215,4
3.4885747,2.3772004,4
-0.4803526,11.091922,4
-0.36669877,11.342283,4
4.850913,6.5596333,4
7.145357,-7.4538393,4
4.7542067,6.5936403,4
9.955475,0.8814934,4
7.8218846,5.3952017,4
4.736801,1.9018674,4
9.0559225,5.2398443,4
-6.905896,2.718278,4
-1.7210002,-1.5219486,4
4.7439585,1.887491,4
-2.5258574,-4.421043,4
2.514007,-5.6966486,4
-4.369111,-3.3669748,4
11.69355,-0.35585994,4
-1.1405377,10.234985,4
9.806067,1.6459812,4
-8.149669,-6.5225706,4
-2.3053813,8.954833,4
2.8034713,-9.249074,4
-7.016409,-2.4279528,4
-0.7005258,8.085502,4
4.74296,7.0047565,4
