X,Y,N
3.8924584,-0.029082222,4
-7.0123053,-1.2250051,4
5.0434976,8.4323225,4
-6.0529256,-4.563148,4
-5.9773912,-7.5772376,4
-9.131422,-2.8697422,4
3.9235203,-5.624685,4
0.39893553,9.28134,4
14.301515,3.8958638,4
13.84527,3.4088871,4
-6.283746,-8.216355,4
-8.553181,-3.5293717,4
-4.3229795,-8.009058,4
11.35843,7.25749,4
-4.1999145,-7.0878096,4
-1.8380421,7.6693215,4
-0.37830827,2.2485948,4
-3.5047061,-9.5138235,4
-4.656113,-8.594473,4
1.8852093,2.6747932,4
-6.739647,-3.7488556,4
8.917479,-0.14955367,4
8.7038355,-0.20340988,4
6.007451,10.757338,4
13.267207,4.683916,4
-3.3708198,-5.327596,4
13.142125,0.56386393,4
13.615087,4.023456,4
11.447593,3.501683,4
11.129176,3.2383482,4
-3.6395142,-5.37587,4
-4.10753,-9.278023,4
-5.1252275,-6.987086,4
-8.5130205,-2.4002814,4
-0.99316394,-4.1114655,4
1.4761746,-0.33870307,4
-2.7550676,-3.6351426,4
13.693107,-0.7503957,4
-1.7332358,-9.483955,4
0.985199,4.0735745,4
6.37416,-1.8309274,4
-2.1577652,5.1376715,4
-4.5894885,-4.096118,4
-6.5343013,-2.3982866,4
-5.8407383,-2.593949,4
3.7604902,-4.8758082,4
10.494264,5.81598,4
10.741821,6.0637627,4
10.666342,5.928656,4
14.739576,1.7248058,4
2.899157,10.026536,4
-5.2304626,-6.3635335,4
0.06835675,-4.338106,4
-8.53496,-2.1987262,4
0.07198173,9.023686,4
-8.738587,-2.33549,4
-9.445355,-2.6085293,4
-1.2183983,10.937318,4
2.7513652,-6.367999,4
-6.021371,-5.2293477,4
-2.1089666,-4.114226,4
-0.54887193,-6.6447177,4
-0.3211315,-8.822695,4
13.725881,3.8847947,4
8.933314,6.61312,4
9.805278,-0.45546815,4
14.936844,5.054899,4
4.71768,1.4850516,4
6.1821156,6.511353,4
4.796082,0.73439515,4
0.27664936,9.489927,4
0.02853021,8.975531,4
5.4462214,-4.417502,4
-0.43637988,10.102137,4
5.3010526,15.519182,4
5.68342,1.9758663,4
2.5269608,1.168895,4
-5.952229,-8.145212,4
-9.378571,-3.0652676,4
-6.6986146,-4.2013636,4
2.5363963,11.474209,4
-3.7611847,-4.2180266,4
0.8598895,-5.0584,4
1.248676,0.1995388,4
13.40205,-0.47429708,4
-3.5322618,-9.832236,4
-3.0487335,2.6604714,4
-6.038159,-7.6269197,4
0.1719915,8.262275,4
-2.0057514,10.901989,4
-7.5173697,-3.8810506,4
-1.331102,-8.990259,4
0.06156592,9.940958,4
-3.3738565,-3.547482,4
14.319284,3.2302144,4
-4.597293,-5.2833185,4
-4.957472,-4.3392515,4
1.9141036,10.841594,4
14.046802,3.8839264,4
2.1656673,-0.5904612,4
-9.520599,-3.074753,4
-0.3695013,-1.1972198,4
11.817033,0.7246188,4
-4.194178,-4.141974,4
-0.30467948,-7.672876,4
13.55887,4.6913238,4
7.983417,5.4611945,4
7.1849585,2.88177,4
-8.993563,-3.5740454,4
-2.8961778,0.88994247,4
6.786558,6.3737473,4
15.122546,-5.7524624,4
14.185576,2.1457753,4
-4.1008143,-3.877838,4
-5.0699873,-2.9808977,4
7.9053836,-0.044704914,4
3.3570015,3.253327,4
-0.9829583,10.675671,4
3.9258428,2.8105698,4
6.736962,1.8036366,4
-0.10956784,-8.130768,4
-1.9243709,10.574477,4
-8.4258375,-3.05334,4
-4.7350426,-5.034763,4
4.163018,1.6716108,4
3.9212158,2.9463608,4
-1.007873,10.097496,4
-1.2788396,10.321231,4
5.356707,6.117789,4
0.93031746,-9.214062,4
5.814515,6.334528,4
13.281357,3.539246,4
10.227498,0.4602017,4
2.8596275,6.3170342,4
11.187445,0.47285482,4
-13.836217,-0.76158565,4
-3.8603013,-1.2935301,4
2.5932152,7.00949,4
-4.9416285,-3.0960817,4
1.3645794,-5.2593303,4
-6.0626726,-2.4183717,4
11.552499,-0.50166833,4
-0.2511592,9.946506,4
14.924306,3.3240275,4
-6.2782617,-7.2665963,4
1.4937173,10.403727,4
-0.060903072,-7.5273805,4
-8.960448,-3.530662,4
-0.48176742,6.8047943,4
7.5090165,7.215707,4
-0.81256545,-9.002409,4
-0.8088064,-4.159268,4
2.4035265,1.329311,4
10.103568,4.518547,4
0.33124053,6.473172,4
1.2697611,-5.4238873,4
-1.7222909,-3.8695555,4
-1.8846956,-9.431756,4
-2.044394,4.5558434,4
-4.2920175,-2.891121,4
-9.555776,-2.711863,4
5.7303324,3.315255,4
-1.6328474,-9.33583,4
6.2043037,1.7779361,4
0.96452767,1.0070395,4
-5.1322885,-2.5076516,4
0.78232014,2.0728877,4
11.633971,4.6947827,4
11.761001,4.252022,4
11.435359,4.1069407,4
12.70474,3.57011,4
4.7896852,4.260793,4
-2.0599182,-3.4378088,4
5.408192,-3.9155488,4
2.1881168,11.011864,4
-2.6998837,3.8567467,4
-2.6875675,2.7551417,4
2.2784696,2.2738352,4
-5.8068295,-5.3890467,4
6.7306113,8.899523,4
19.889872,-0.9824194,4
-1.8439419,-7.6097918,4
9.060724,1.3706499,4
5.858575,3.4845724,4
-3.2090552,-3.502752,4
-9.938107,-5.4176006,4
7.101249,9.425927,4
7.0703235,9.402697,4
13.733448,0.07491859,4
-5.6013083,-3.8423543,4
12.878965,3.5830226,4
-0.55324966,-4.644652,4
13.148374,3.441824,4
-0.52592844,-4.670188,4
17.951406,8.11696,4
-2.2440865,-0.7721215,4
-5.024064,9.887301,4
4.8058453,-1.6688902,4
5.0402,0.2866425,4
17.954926,8.113338,4
4.7490215,-1.6947548,4
-2.1391742,-0.82622874,4
4.995448,0.21590158,4
17.851603,8.216715,4
4.9223304,-1.5561775,4
-1.8909589,-0.8466779,4
-5.0233917,9.891299,4
4.9371324,0.087262996,4
17.893242,8.175191,4
-2.0922492,-0.93678474,4
-5.0204678,9.910938,4
4.999915,0.07827526,4
4.8655653,-1.6355143,4
11.184788,11.760366,4
-15.956108,5.9310117,4
-9.077584,8.682068,4
6.0384216,0.8507526,4
-8.5566635,5.5699306,4
-8.822543,5.444992,4
11.242173,11.697123,4
-15.944749,5.9194317,4
-9.070889,8.667356,4
6.02635,0.8109045,4
11.279661,11.652831,4
-15.8518915,5.823467,4
-9.163789,8.580586,4
6.2114644,0.646154,4
-8.797163,5.641897,4
-15.909816,5.8873024,4
11.265503,11.676918,4
-8.994572,8.741555,4
6.266811,0.60535514,4
-9.118656,8.711729,4
-15.952845,5.9507723,4
11.603369,11.974778,4
6.3255014,0.52960014,4
11.277605,11.599665,4
-15.873442,5.845523,4
-9.076836,8.625447,4
6.5322137,0.16013582,4
-1.3330646,-8.979457,4
-1.5704279,-3.23437,4
-0.72065043,1.6561121,4
5.0453515,3.9036899,4
2.2399113,3.6077442,4
14.321237,3.9996836,4
-6.263115,-2.5052376,4
-8.129896,-2.953401,4
11.038567,-6.800057,4
-0.8029281,9.945531,4
-7.2630715,-2.4410274,4
3.8701067,-4.7979264,4
11.479616,0.47329217,4
-14.116327,-1.7789832,4
-2.3743181,4.1414394,4
3.4431539,2.409113,4
11.704008,3.5405362,4
11.737672,3.4817812,4
9.492877,3.406304,4
-6.0928574,-7.147891,4
-1.7709917,-6.5362673,4
2.7026048,-6.204791,4
4.1360016,5.947012,4
-5.030112,-6.0815806,4
-3.9303293,-2.9993396,4
-6.3543224,-8.068852,4
6.74333,6.200556,4
-5.908907,-7.781384,4
1.5178636,5.059395,4
9.918271,-1.248306,4
-4.5098042,-8.926879,4
-4.144487,-8.515592,4
-8.516109,-3.7003093,4
-5.7719254,-6.983944,4
6.60636,5.082101,4
-1.805898,-3.6316695,4
-7.1319385,-1.9685153,4
-3.0109963,0.51688,4
-2.9696927,-0.9594229,4
3.259353,4.5430326,4
3.2384212,4.5744486,4
-5.1120677,1.1259022,4
13.086165,-0.07694569,4
-1.7221023,4.6913147,4
-1.6669862,-3.798458,4
4.745737,0.98010087,4
10.246575,3.0222986,4
6.6218143,3.6007755,4
6.969231,8.861466,4
2.8860376,11.4160185,4
-8.261848,-3.0059698,4
14.702902,3.0587218,4
-7.8135414,-1.7387782,4
5.924963,12.654884,4
5.818093,12.799762,4
5.908621,12.677469,4
8.283758,4.53232,4
5.912349,12.678889,4
5.639879,13.015355,4
13.268917,3.8575718,4
6.717661,16.29827,4
8.478042,7.3278975,4
12.615213,4.367437,4
5.7314644,6.4511824,4
-3.103271,7.457817,4
-10.056568,-2.6585085,4
-5.712239,-8.020236,4
4.306906,4.358764,4
-2.5901613,-9.833697,4
-5.5200534,-7.068757,4
6.32644,6.5511303,4
5.2004175,4.4406753,4
-2.8777897,10.63452,4
15.348187,-6.0311837,4
2.9543693,2.9853835,4
-0.5691345,1.8668232,4
-6.230026,-4.4095387,4
-0.36194173,2.3319876,4
-4.9146066,-6.7770476,4
-5.5057635,-7.91791,4
8.8198,2.662324,4
6.3520617,4.7384906,4
4.6873455,-4.5479684,4
9.974977,0.02225579,4
-8.110709,-3.392529,4
-6.2514887,-8.175328,4
11.0130415,-0.1984409,4
10.427069,-1.8090954,4
1.8006226,1.679354,4
4.1430063,2.2110195,4
4.064482,-4.3456345,4
-1.1376384,10.396676,4
-4.0614624,-9.598299,4
-1.9327576,-7.5416574,4
0.0826353,8.816523,4
-4.6422515,-5.055829,4
2.1342402,-4.8991013,4
1.4808693,-5.3999963,4
-5.094146,-4.6208153,4
-2.491978,-3.8582013,4
-2.474591,-3.5951526,4
-13.9351225,-0.1761457,4
-1.3627039,8.338439,4
9.631305,0.067448184,4
1.131921,2.132611,4
-2.2913415,11.081759,4
-1.0304245,-4.1267524,4
-4.603945,-5.3329077,4
-7.6187325,11.763627,4
2.906456,11.632542,4
-5.2308035,-7.6021852,4
2.7876945,3.3855205,4
3.882909,2.0412836,4
13.520584,5.891714,4
10.837318,6.829981,4
0.8391227,-0.20751263,4
-1.3884379,-9.057626,4
1.163348,-0.17206924,4
-5.788851,-7.064644,4
-8.621068,-11.213773,4
-4.66217,-0.43082193,4
-4.524336,-8.715637,4
2.7368083,-0.58304894,4
-2.6124203,-1.808705,4
0.40095282,1.50273,4
-6.0867314,-3.6851811,4
-0.7370821,3.6884096,4
13.66182,4.7505436,4
12.259122,3.6394243,4
-0.42960003,-7.6561337,4
13.011158,-7.8642116,4
4.663516,7.0736594,4
14.273543,3.3975623,4
-2.7926424,-8.362437,4
2.146691,0.2279095,4
1.5668939,1.9160657,4
12.403389,-1.9064773,4
6.0637136,9.421118,4
-8.287494,-3.210911,4
15.726614,3.9391336,4
1.9065711,11.206013,4
-1.8894798,-0.00062238926,4
-0.13554913,-3.4147034,4
-4.1078706,-8.541554,4
0.8896356,4.4603186,4
11.293465,5.4908204,4
-0.8410906,-4.3464146,4
-7.085305,-2.486152,4
-7.043919,-2.3335016,4
-4.0087175,-3.4561236,4
-8.734762,-2.0555046,4
-8.523439,-2.9603617,4
-5.435934,-6.969135,4
-6.103299,-4.521463,4
-8.856711,-2.1703537,4
-1.317201,11.139413,4
-1.2488413,11.132957,4
-1.3002205,11.274641,4
-1.3662193,11.156692,4
-4.5443254,-1.6581452,4
18.856987,-3.3086286,4
-1.8947788,9.858371,4
-1.1937078,4.604512,4
-2.2007434,5.5436754,4
-6.1673374,-4.348244,4
-3.9705808,-2.8981206,4
12.006756,-0.34239793,4
11.877204,-0.7996069,4
-2.780076,-5.4913893,4
-4.3502197,-3.5374844,4
7.380757,7.1272345,4
-6.1825223,-7.1026015,4
14.146507,-5.739113,4
3.7327306,0.7890901,4
6.8939223,7.9237056,4
7.7518177,0.977315,4
8.8081,5.985556,4
-1.48305,0.39669403,4
